name,ra_j2000,dec_j2000,z,s178_jy,alpha,las_arcsec,size_kpc,in_sample,excluded,l_a,l_b,l_c,c_a,c_b,c_c,c_d,notes
3C272.1,12:25:03.61,+12:53:12.8,0.003,21.1,0.6,188.5,11,yes,,archival,archival,15,archival,archival,15,5,
3C274,12:30:49.40,+12:23:28.0,0.004,1144.5,0.79,836,71,no,LAS ≥ 240″,,,,,,,,
3C31,01:07:24.85,+32:24:44.1,0.017,18.3,0.57,2700,917,no,LAS ≥ 240″,,,,,,,,
3C449,22:31:20.62,+39:21:30.1,0.017,12.5,0.58,1500,522,no,LAS ≥ 240″,,,,,,,,
3C84,03:19:48.15,+41:30:42.4,0.018,66.8,0.78,1350,486,no,LAS ≥ 240″,,,,,,,,
3C386,18:38:26.26,+17:11:49.2,0.018,26.1,0.59,292,105,no,LAS ≥ 240″,,,,,,,,
3C264,11:45:04.94,+19:36:23.1,0.021,28.3,0.75,410,173,no,LAS ≥ 240″,,,,,,,,
3C66B,02:23:11.47,+42:59:31.4,0.022,26.8,0.5,700,304,no,LAS ≥ 240″,,,,,,,,
3C296,14:16:52.94,+10:48:27.6,0.024,14.2,0.67,437,209,no,LAS ≥ 240″,,,,,,,,
NGC6251,16:32:31.80,+82:32:15.2,0.024,11.6,0.72,3940,1900,no,LAS ≥ 240″,,,,,,,,
NGC7385,22:49:54.57,+11:36:32.6,0.024,11.7,0.75,892,437,no,LAS ≥ 240″,,,,,,,,
3C83.1B,03:18:15.80,+41:51:28.4,0.026,29.0,0.62,1216,624,no,LAS ≥ 240″,,,,,,,,
3C442A,22:14:46.87,+13:50:27.1,0.027,17.5,0.96,597,320,no,LAS ≥ 240″,,,,,,,,
3C465,23:38:29.41,+27:01:53.1,0.029,41.2,0.75,603,354,no,LAS ≥ 240″,,,,,,,,
NGC6109,16:17:40.56,+35:00:15.7,0.030,11.7,0.76,890,528,no,LAS ≥ 240″,,,,,,,,
3C338,16:28:38.29,+39:33:04.6,0.030,51.1,1.19,117,71,yes,,60,archival,archival,60,archival,archival,,
3C98,03:58:54.47,+10:26:02.1,0.031,51.4,0.78,310,190,no,LAS ≥ 240″,,,,,,,,
3C76.1,03:03:14.99,+16:26:19.0,0.032,13.3,0.77,200,129,yes,,60,30,15,60,30,15,5,
DA240,07:48:36.82,+55:48:59.5,0.036,23.2,0.77,2109,1490,no,LAS ≥ 240″,,,,,,,,
3C305,14:49:21.53,+63:16:14.2,0.042,17.1,0.85,13.6,11.2,no,Compact,,,,,,,,
3C293,13:52:17.82,+31:26:46.4,0.045,13.8,0.45,256,228,no,LAS ≥ 240″,,,,,,,,
3C310,15:04:57.17,+26:00:58.2,0.054,60.1,0.92,305,320,no,LAS ≥ 240″,,,,,,,,
3C390.3,18:42:08.88,+79:46:17.3,0.057,51.8,0.75,229,253,yes,,60,30,15,60,30,15,5,
3C382,18:35:03.38,+32:41:47.0,0.058,21.7,0.59,185,207,yes,,60,30,15,60,30,15,5,
4C73.08,09:49:45.78,+73:14:23.1,0.058,15.6,0.85,1004,1130,no,LAS ≥ 240″,,,,,,,,
3C33,01:08:52.85,+13:20:13.8,0.060,59.3,0.76,254.6,293,no,LAS ≥ 240″,,,,,,,,
3C192,08:05:35.01,+24:09:49.9,0.060,23.0,0.79,200,231,yes,,60,30,15,60,30,archival,5,
3C35,01:12:02.27,+49:28:35.0,0.068,11.4,0.77,750,972,no,LAS ≥ 240″,,,,,,,,
3C285,13:21:17.84,+42:35:14.4,0.079,12.3,0.95,180,270,yes,,60,archival,archival,60,archival,archival,5,
3C452,22:45:48.75,+39:41:15.8,0.081,59.3,0.78,280,428,no,LAS ≥ 240″,,,,,,,,
A1552,12:29:34.32,+11:40:38.9,0.084,12.5,0.94,168,264,yes,,60,30,15,60,30,15,5,
3C326,15:52:09.15,+20:05:23.7,0.090,22.2,0.88,1206,2010,no,LAS ≥ 240″,,,,,,,,
3C388,18:44:02.37,+45:33:30.0,0.091,26.8,0.7,50,85,yes,,60,30,,60,30,15,,
3C321,15:31:43.37,+24:04:18.4,0.096,14.7,0.6,307,550,no,LAS ≥ 240″,,,,,,,,
3C236,10:06:01.72,+34:54:10.5,0.099,15.7,0.51,2478,4530,no,LAS ≥ 240″,,,,,,,,
3C433,21:23:44.56,+25:04:28.0,0.102,61.3,0.75,68,130,yes,,60,archival,,60,30,15,,
3C315,15:13:40.10,+26:07:30.4,0.108,19.4,0.72,201.4,398.5,yes,,60,30,15,60,30,15,5,
3C184.1,07:43:01.44,+80:26:25.6,0.119,14.2,0.68,182,390,yes,,60,30,15,60,30,15,5,
3C314.1,15:10:23.12,+70:45:53.4,0.120,11.6,0.95,201,434,yes,,60,archival,archival,60,archival,archival,5,
3C223,09:39:52.75,+35:53:58.3,0.137,16.0,0.74,306,740,no,LAS ≥ 240″,,,,,,,,
3C303,14:43:02.72,+52:01:37.2,0.141,12.2,0.76,47,120,yes,,60,archival,,60,30,15,,
4C12.03,00:09:52.57,+12:44:04.6,0.156,10.9,0.87,215,581,yes,,60,30,15,60,30,15,archival,
3C381,18:33:46.28,+47:27:03.2,0.161,18.1,0.81,73.2,202,yes,,60,30,,60,30,15,,
3C346,16:43:48.68,+17:15:49.1,0.162,11.9,0.52,17,47,no,Compact,,,,,,,,
3C20,00:43:09.29,+52:03:35.6,0.174,46.8,0.66,53.6,158,yes,,archival,archival,,archival,archival,15,,
3C219,09:21:08.61,+45:38:57.7,0.174,44.9,0.81,190,562,yes,,60,30,15,60,30,15,5,
3C33.1,01:09:44.33,+73:11:57.5,0.181,14.2,0.62,227,692,yes,,60,30,15,60,30,15,5,
3C234,10:01:49.56,+28:47:08.7,0.185,34.2,0.86,112,347,yes,,60,30,,60,30,15,,
3C61.1,02:22:36.07,+86:19:07.8,0.186,34.0,0.77,186,580,yes,,60,30,15,60,30,15,5,
3C319,15:24:04.89,+54:28:05.9,0.192,16.7,0.9,105.2,336,yes,,60,30,,60,30,15,,
3C28,00:55:50.65,+26:24:37.3,0.195,17.8,1.06,45.6,148,yes,,60,30,,archival,archival,archival,,
3C401,19:40:25.00,+60:41:37.1,0.201,22.8,0.71,23.6,78.2,yes,,60,,,60,30,,,
3C349,16:59:28.91,+47:02:55.9,0.205,14.5,0.74,85.9,289,yes,,60,30,,60,30,15,,
4C14.11,04:14:29.79,+14:16:19.0,0.206,12.1,0.84,116,392,yes,,60,30,,60,30,15,,
3C132,04:56:42.87,+22:49:23.5,0.214,14.9,0.68,22.4,77.9,yes,,60,,,60,30,,,
3C436,21:44:11.66,+28:10:18.9,0.215,19.4,0.86,109.1,380.1,yes,,60,30,,60,30,15,,
3C123,04:37:04.38,+29:40:13.8,0.218,206.0,0.7,37.8,133,yes,,archival,archival,,archival,archival,15,,
3C171,06:55:14.65,+54:08:57.0,0.238,21.3,0.87,32.5,123,yes,,60,,,60,30,15,,
3C284,13:11:04.61,+27:28:06.8,0.239,12.3,0.95,178.1,674.4,yes,,60,30,15,60,30,15,5,
3C288,13:38:49.99,+38:51:09.5,0.246,20.6,0.85,36.2,140,yes,,60,30,,60,30,15,,
3C79,03:10:00.21,+17:05:58.5,0.256,33.2,0.92,89,350,yes,,60,30,,60,30,15,,
3C300,14:22:59.85,+19:35:36.9,0.272,19.5,0.78,100.9,419,yes,,60,30,,60,30,15,,
3C153,06:09:32.53,+48:04:15.4,0.277,16.7,0.66,9.1,38,no,Compact,,,,,,,,
3C438,21:55:52.28,+38:00:29.1,0.290,48.7,0.88,22.6,98.3,yes,,archival,archival,archival,archival,archival,archival,,
3C173.1,07:09:18.43,+74:49:31.7,0.292,16.8,0.88,60.5,264,yes,,60,30,,60,30,15,,
3C109,04:13:40.34,+11:12:15.3,0.306,23.5,0.85,103,465,yes,,60,30,,60,30,15,,
3C67,02:24:12.27,+27:50:11.1,0.310,10.9,0.58,3,10,no,Compact,,,,,,,,
3C249.1,11:04:13.76,+76:58:58.2,0.311,11.7,0.81,46.6,213,yes,,60,30,,60,30,15,,
3C48,01:37:41.29,+33:09:35.4,0.367,60.0,0.59,0.4,2,no,Compact,,,,,,,,
